star,Slope
21494,-0.0002999999999995596
21495,-9.999999999955963e-05
21515,-0.00139999999999956
21516,-0.0003999999999995596
21522,-0.0007999999999995597
21524,-0.0003999999999995596
21532,-0.0004999999999995596
21538,-0.0003999999999995596
21547,-0.0005999999999995597
21561,-0.0024999999999995594
21567,0.00010000000000044038
21573,-0.0006999999999995597
21575,-0.0019999999999995603
21596,-0.0006999999999995597
21599,-0.0006999999999995597
21614,-0.0007999999999995597
21615,-0.0007999999999995597
21629,-0.0009999999999995598
21630,-0.0003999999999995596
21637,-0.0004999999999995596
21655,-0.00019999999999955963
21657,-0.0006999999999995597
21670,-0.0005999999999995597
21673,-0.0006999999999995597
21691,-0.0003999999999995596
21693,-0.0003999999999995596
21698,-0.0009999999999995598
21725,-0.0007999999999995597
21739,-0.0005999999999995597
21742,-0.0005999999999995597
21749,-0.0004999999999995596
21751,-0.0006999999999995597
21769,-0.0003999999999995596
21776,-0.0002999999999995596
21778,-0.0003999999999995596
21780,-0.00159999999999956
21786,-0.0003999999999995596
21787,-0.0005999999999995597
21829,-0.0003999999999995596
21834,-0.0009999999999995598
21835,-0.00149999999999956
21836,-0.0005999999999995597
21839,-0.0009999999999995598
21846,-0.0009999999999995598
21851,-0.0004999999999995596
21857,-0.00019999999999955963
21863,-0.0004999999999995596
21877,-9.999999999955963e-05
21885,-0.00019999999999955963
21898,-0.0007999999999995597
21900,-0.0005999999999995597
21905,-0.0006999999999995597
21918,-9.999999999955963e-05
21919,-0.0004999999999995596
21927,-0.0005999999999995597
21946,-0.0005999999999995597
21957,-0.0004999999999995596
21963,-0.0006999999999995597
21964,-0.0006999999999995597
21965,-0.0005999999999995597
21982,-0.0006999999999995597
22005,-0.0005999999999995597
22038,-0.0008999999999995598
22043,-0.0005999999999995597
22053,-0.0005999999999995597
22057,-0.0006999999999995597
22062,-0.0006999999999995597
22070,-0.0006999999999995597
22140,-0.00019999999999955963
22145,-0.0010999999999995599
22162,-0.0004999999999995596
22178,-0.00139999999999956
22190,-0.0007999999999995597
22194,-0.0007999999999995597
22220,-9.999999999955963e-05
22231,-0.00149999999999956
22265,-0.0003999999999995596
22295,-0.0007999999999995597
22301,-0.0005999999999995597
22356,-0.00139999999999956
22372,-0.0006999999999995597
22377,-0.0003999999999995596
22388,-0.0006999999999995597
22391,-0.0002999999999995596
22395,-0.0006999999999995597
22402,-0.0009999999999995598
22409,-0.0008999999999995598
22423,-0.0005999999999995597
22429,-0.0010999999999995599
22474,-0.0002999999999995596
22490,-0.0003999999999995596
22522,-0.00209999999999956
22527,-0.0004999999999995596
22531,-0.0007999999999995597
22544,-0.00139999999999956
22552,-0.0006999999999995597
22553,-0.0010999999999995599
